First Level,Second Level,Third Level
,,Frequent Use Of The Sacraments ..............................................................................................332
,,Almsdeeds...................................................................................................................................333
,,The Spirit Of Forgiveness............................................................................................................333
,"THE SIXTH PETITION OF THE LORD'S PRAYER : ""And lead us not into temptation.""..............333",
,,Importance Of Instruction On This Petition .................................................................................333
,,Necessity of the Sixth Petition.....................................................................................................334
,,Human Frailty ..............................................................................................................................334
,,The Assaults Of The Flesh..........................................................................................................334
,,The Temptations Of The Devil ....................................................................................................334
,,Audacity Of The Demons ............................................................................................................335
,,Number Of The Demons .............................................................................................................335
,,Malignity And Power Of The Demons .........................................................................................335
,,Prayer Protects Man's Weakness Against The Enemies Of His Soul ........................................335
,,"""Temptation""................................................................................................................................336"
,,"23""Lead us not into Temptation"" .....................................................................................................336"
,,Objects of the Sixth Petition ........................................................................................................337
,,What We Do Not Pray For...........................................................................................................337
,,What We Pray For In This Petition..............................................................................................338
,,Dispositions which should Accompany this Petition....................................................................338
,,Distrust Of Self And Confidence In God......................................................................................338
,,Remembrance Of The Victory Of Christ And His Saints.............................................................338
,,Watchfulness...............................................................................................................................339
,,The Author of victory over Temptation ........................................................................................339
,,The Rewards of Victories over temptation ..................................................................................339
,"THE SEVENTH PETITION OF THE LORD'S PRAYER : ""But deliver us from evil""......................340",
,,The Importance Of Instruction On This Petition..........................................................................340
,,Necessity Of This Petition ...........................................................................................................340
,,Our Chief Hope Of Deliverance Should Be In God.....................................................................341
,,We Must Confidently Expect His Help ........................................................................................341
,,"""From Evil""...................................................................................................................................342"
,,What We Do Not Pray For...........................................................................................................342
,,What We Do Pray For .................................................................................................................342
,,"""Deliver Us"".................................................................................................................................342"
,,Deliverance From Satan Especially Asked For...........................................................................343
,,Patience and Joy under Continued Affliction ..............................................................................343
,THE SEAL OF THE LORD'S PRAYER ..........................................................................................344,
,,"""Amen"".......................................................................................................................................344"
,,Necessity Of Explaining The Conclusion Of The Lord's Prayer..................................................344
,,fruits that Come at the Conclusion of Prayer ..............................................................................344
,,Assurance That We Have Been Heard.......................................................................................344
,,Fervour And Illumination .............................................................................................................344
,,Sweetness...................................................................................................................................345
,,Confidence And Gratitude...........................................................................................................345
,,Illustrations From The Psalms.....................................................................................................345
,,"Meaning of the Word ""Amen""......................................................................................................346"
,,First Explanation..........................................................................................................................346
,,"Other Explanations Of The Word ""Amen"" ...................................................................................346"
,,Advantages of Terminating our Prayer with this Word................................................................346
